Individual_ID,status,n_cells
Donor_231,kept,1879.0
Donor_365,kept,705.0
Donor_1415,kept,5064.0
Donor_1012,kept,4314.0
Donor_668,kept,4268.0
Donor_490,kept,739.0
Donor_391,kept,2048.0
Donor_1396,kept,5766.0
Donor_51,kept,3906.0
Donor_403,,
Donor_276,kept,2123.0
Donor_148,kept,3750.0
Donor_877,kept,7448.0
Donor_1260,kept,6234.0
Donor_964,kept,1895.0
Donor_1404,kept,3909.0
Donor_1205,kept,4182.0
Donor_1109,kept,3249.0
Donor_158,kept,2341.0
Donor_1460,kept,1966.0
Donor_338,kept,7661.0
Donor_1229,kept,4393.0
Donor_1218,kept,6300.0
Donor_906,kept,3811.0
Donor_1097,kept,3059.0
Donor_315,kept,1121.0
Donor_588,kept,5874.0
Donor_469,kept,2424.0
Donor_385,kept,1703.0
Donor_379,kept,3460.0
Donor_696,kept,2845.0
Donor_767,kept,1310.0
Donor_114,kept,7397.0
Donor_127,kept,6303.0
Donor_369,kept,6731.0
Donor_240,kept,4101.0
Donor_1360,kept,4416.0
Donor_1183,kept,1762.0
Donor_791,kept,6410.0
Donor_1266,kept,5659.0
Donor_1192,kept,2091.0
Donor_665,kept,2532.0
Donor_511,kept,2113.0
Donor_1211,kept,9542.0
Donor_133,kept,8367.0
Donor_986,kept,5315.0
,removed,5119.0
Donor_1160,kept,1828.0
Donor_422,kept,5898.0
Donor_883,kept,2643.0
Donor_410,kept,2475.0
Donor_1107,kept,2462.0
Donor_869,kept,2294.0
Donor_239,kept,763.0
Donor_1287,kept,7954.0
Donor_725,kept,4770.0
Donor_654,kept,4031.0
Donor_651,kept,1770.0
Donor_666,kept,4396.0
Donor_106,kept,4549.0
Donor_132,kept,3718.0
Donor_745,kept,3906.0
Donor_965,kept,1336.0
Donor_227,kept,1361.0
Donor_548,kept,5085.0
Donor_650,kept,2973.0
Donor_1299,kept,4090.0
Donor_491,kept,1075.0
Donor_1182,kept,531.0
Donor_167,kept,990.0
Donor_1243,kept,5348.0
Donor_202,kept,1772.0
Donor_794,kept,5796.0
Donor_134,kept,4044.0
Donor_165,kept,3639.0
Donor_58,kept,853.0
Donor_722,kept,5488.0
Donor_82,kept,2388.0
Donor_57,kept,4051.0
Donor_375,kept,2792.0
Donor_395,kept,1387.0
Donor_1037,kept,708.0
Donor_1190,kept,6371.0
Donor_811,kept,5868.0
Donor_1433,kept,5073.0
Donor_874,kept,4518.0
Donor_802,kept,2730.0
Donor_1247,kept,2912.0
Donor_93,kept,7986.0
