pool_name,Individual_ID,demux_dons,vir_res,n_vir_dons,init_ratio,final_dons,cell_counts,n_final_dons,final_ratio,status
NPSAD-20201029-C2-cDNA,Donor_995,donor5,508,5,0.0460938208873968,donor5,294,5,0.0383661751272348,kept
NPSAD-20201030-A1-cDNA,Donor_487,donor1,4400,6,0.278940027894003,donor4,1680,6,0.180606321221243,kept
NPSAD-20201030-A1-cDNA,Donor_580,donor2,2557,6,0.162102193482947,donor2,2106,6,0.226402924102344,kept
NPSAD-20201030-A1-cDNA,Donor_569,donor3,2535,6,0.160707493343477,donor3,1747,6,0.187809073317566,kept
NPSAD-20201030-A1-cDNA,Donor_1454,donor4,2427,6,0.153860783567897,donor1,2130,6,0.228983014405504,kept
NPSAD-20201030-A1-cDNA,Donor_216,donor5,2102,6,0.133257258780271,donor6,472,6,0.0507417759621587,kept
NPSAD-20201030-A1-cDNA,Donor_806,donor6,1753,6,0.111132242931406,donor5,1167,6,0.125456890991185,kept
NPSAD-20201030-A2-cDNA,Donor_487,donor1,4437,6,0.280007572889057,donor4,1666,6,0.179487179487179,kept
NPSAD-20201030-A2-cDNA,Donor_569,donor2,2523,6,0.159219992427111,donor3,1822,6,0.196293902176255,kept
NPSAD-20201030-A2-cDNA,Donor_580,donor3,2514,6,0.158652025747823,donor2,2107,6,0.226998491704374,kept
NPSAD-20201030-A2-cDNA,Donor_1454,donor4,2405,6,0.151773318187555,donor1,2130,6,0.229476405946994,kept
NPSAD-20201030-A2-cDNA,Donor_216,donor5,2201,6,0.138899406790357,donor6,468,6,0.0504201680672269,kept
NPSAD-20201030-A2-cDNA,Donor_806,donor6,1766,6,0.111447683958097,donor5,1089,6,0.11732385261797,kept
NPSAD-20201030-C1-cDNA,Donor_688,donor1,5371,6,0.364506277570411,donor1,3708,6,0.351869424938318,kept
NPSAD-20201030-C1-cDNA,Donor_415,donor2,2912,6,0.197624703087886,donor2,2355,6,0.223476940595938,kept
NPSAD-20201030-C1-cDNA,Donor_560,donor3,2017,6,0.136884967763828,donor3,1480,6,0.140444107041184,kept
NPSAD-20201030-C1-cDNA,Donor_641,donor4,1736,6,0.117814726840855,donor4,1328,6,0.126020117669387,kept
NPSAD-20201030-C1-cDNA,Donor_228,donor5,1395,6,0.0946725483542586,donor6,721,6,0.0684190548491175,kept
NPSAD-20201030-C1-cDNA,Donor_1333,donor6,1304,6,0.0884967763827621,donor5,946,6,0.0897703549060543,kept
NPSAD-20201030-C2-cDNA,Donor_688,donor1,5877,6,0.366282330944219,donor1,4034,6,0.358864869673517,kept
NPSAD-20201030-C2-cDNA,Donor_415,donor2,3212,6,0.200186974135245,donor2,2560,6,0.227737745752157,kept
NPSAD-20201030-C2-cDNA,Donor_560,donor3,2156,6,0.134372078529137,donor3,1561,6,0.138866648874655,kept
NPSAD-20201030-C2-cDNA,Donor_641,donor4,1810,6,0.112807728264257,donor4,1243,6,0.110577350769504,kept
NPSAD-20201030-C2-cDNA,Donor_228,donor5,1513,6,0.094297288875039,donor6,788,6,0.0701005248643359,kept
NPSAD-20201030-C2-cDNA,Donor_1333,donor6,1477,6,0.0920535992521035,donor5,1055,6,0.0938528600658304,kept
NPSAD-20201103-A1-cDNA,Donor_1061,donor1,3413,6,0.199136472372951,donor1,2479,6,0.230454587710328,kept
NPSAD-20201103-A1-cDNA,Donor_160,donor2,3261,6,0.190267810257308,donor5,1440,6,0.133866319605838,kept
NPSAD-20201103-A1-cDNA,Donor_566,donor3,3025,6,0.176498045393547,donor2,2124,6,0.197452821418611,kept
NPSAD-20201103-A1-cDNA,Donor_1268,donor4,2714,6,0.158352295933252,donor3,1837,6,0.170772520219392,kept
NPSAD-20201103-A1-cDNA,Donor_388,donor5,2421,6,0.141256782776125,donor4,1509,6,0.140280747420284,kept
NPSAD-20201103-A1-cDNA,Donor_947,donor6,2305,6,0.134488593266818,donor6,1368,6,0.127173003625546,kept
NPSAD-20201103-A2-cDNA,Donor_1061,donor1,3722,6,0.205419725150395,donor1,2698,6,0.213821524805833,kept
NPSAD-20201103-A2-cDNA,Donor_160,donor2,3341,6,0.184392074617805,donor2,2567,6,0.203439530828974,kept
NPSAD-20201103-A2-cDNA,Donor_566,donor3,3208,6,0.177051713670732,donor3,2257,6,0.178871453479157,kept
NPSAD-20201103-A2-cDNA,Donor_1268,donor4,2883,6,0.159114741431646,donor4,1961,6,0.155412902203202,kept
NPSAD-20201103-A2-cDNA,Donor_947,donor5,2539,6,0.140129146200121,donor5,1640,6,0.129973054366778,kept
NPSAD-20201103-A2-cDNA,Donor_388,donor6,2426,6,0.133892598929301,donor6,1495,6,0.118481534316056,kept
NPSAD-20201103-C1-cDNA,Donor_940,donor1,2568,6,0.209530026109661,donor1,1955,6,0.216476580666593,kept
NPSAD-20201103-C1-cDNA,Donor_703,donor2,2171,6,0.17713772845953,donor3,1702,6,0.188461964345034,kept
NPSAD-20201103-C1-cDNA,Donor_1172,donor3,2118,6,0.172813315926893,donor2,1723,6,0.190787288229432,kept
NPSAD-20201103-C1-cDNA,Donor_1249,donor4,2062,6,0.168244125326371,donor4,1459,6,0.161554645111283,kept
NPSAD-20201103-C1-cDNA,Donor_746,donor5,1806,6,0.147356396866841,donor5,1339,6,0.148267080057579,kept
NPSAD-20201103-C1-cDNA,Donor_193,donor6,1531,6,0.124918407310705,donor6,853,6,0.0944524415900786,kept
NPSAD-20201103-C2-cDNA,Donor_940,donor1,4177,6,0.206302168222453,donor1,3235,6,0.209006331567386,kept
NPSAD-20201103-C2-cDNA,Donor_1172,donor2,3578,6,0.176717538400751,donor2,2938,6,0.189817805918077,kept
NPSAD-20201103-C2-cDNA,Donor_1249,donor3,3507,6,0.173210846051267,donor4,2673,6,0.172696730843778,kept
NPSAD-20201103-C2-cDNA,Donor_703,donor4,3422,6,0.169012693238504,donor3,2709,6,0.175022612740664,kept
NPSAD-20201103-C2-cDNA,Donor_746,donor5,3313,6,0.16362917963155,donor5,2578,6,0.166558986949218,kept
NPSAD-20201103-C2-cDNA,Donor_193,donor6,2250,6,0.111127574455475,donor6,1345,6,0.0868975319808761,kept
NPSAD-20201104-A1-cDNA,Donor_754,donor1,46,2,0.647887323943662,donor2,0,1,0,removed
NPSAD-20201104-A1-cDNA,Donor_24,donor2,25,2,0.352112676056338,donor1,10,1,1,kept
NPSAD-20201104-A2-cDNA,Donor_24,donor1,279,5,0.304585152838428,donor1,69,3,0.276,kept
NPSAD-20201104-A2-cDNA,Donor_754,donor2,266,5,0.290393013100437,donor2,61,3,0.244,kept
NPSAD-20201104-A2-cDNA,Donor_720,donor3,152,5,0.165938864628821,donor3,60,3,0.24,kept
NPSAD-20201104-A2-cDNA,,donor4,142,5,0.155021834061135,donor5,0,3,0,removed
NPSAD-20201104-A2-cDNA,Donor_720,donor5,77,5,0.084061135371179,donor4,60,3,0.24,kept
NPSAD-20201104-C1-cDNA,Donor_857,donor1,3629,6,0.268218773096822,donor1,2960,6,0.282012195121951,kept
NPSAD-20201104-C1-cDNA,Donor_776,donor2,2620,6,0.193643754619364,donor2,1765,6,0.168159298780488,kept
NPSAD-20201104-C1-cDNA,Donor_953,donor3,2193,6,0.162084257206208,donor4,1695,6,0.161490091463415,kept
NPSAD-20201104-C1-cDNA,Donor_59,donor4,2053,6,0.151736881005174,donor3,1732,6,0.165015243902439,kept
NPSAD-20201104-C1-cDNA,Donor_775,donor5,1526,6,0.112786400591279,donor6,1159,6,0.110423018292683,kept
NPSAD-20201104-C1-cDNA,Donor_1336,donor6,1509,6,0.111529933481153,donor5,1185,6,0.112900152439024,kept
NPSAD-20201104-C2-cDNA,Donor_857,donor1,3702,6,0.287802223431548,donor1,2897,6,0.285841144548594,kept
NPSAD-20201104-C2-cDNA,Donor_776,donor2,2616,6,0.203374018502682,donor2,1888,6,0.186285150468673,kept
NPSAD-20201104-C2-cDNA,Donor_953,donor3,1891,6,0.147010806188292,donor3,1522,6,0.15017266896892,kept
NPSAD-20201104-C2-cDNA,Donor_59,donor4,1779,6,0.138303661665241,donor4,1469,6,0.144943265910212,kept
NPSAD-20201104-C2-cDNA,Donor_1336,donor5,1439,6,0.111871258648838,donor5,1223,6,0.12067094227923,kept
NPSAD-20201104-C2-cDNA,Donor_775,donor6,1436,6,0.111638031563399,donor6,1136,6,0.112086827824371,kept
NPSAD-20201105-A1-cDNA,Donor_1092,donor1,3807,6,0.230322463548914,donor1,3177,6,0.242038701813195,kept
NPSAD-20201105-A1-cDNA,Donor_565,donor2,3495,6,0.211446548490532,donor2,2929,6,0.223144903245467,kept
NPSAD-20201105-A1-cDNA,Donor_933,donor3,3087,6,0.186762659568032,donor3,2638,6,0.200975163797044,kept
NPSAD-20201105-A1-cDNA,Donor_1443,donor4,2604,6,0.15754129106419,donor4,2214,6,0.16867286301996,kept
NPSAD-20201105-A1-cDNA,Donor_509,donor5,2139,6,0.129408917659871,donor5,1496,6,0.113972268779522,kept
NPSAD-20201105-A1-cDNA,Donor_894,donor6,1397,6,0.0845181196684615,donor6,672,6,0.0511960993448118,kept
NPSAD-20201105-A2-cDNA,Donor_1092,donor1,3126,6,0.223573165498498,donor1,2660,6,0.243478260869565,kept
NPSAD-20201105-A2-cDNA,Donor_565,donor2,2981,6,0.213202689171792,donor2,2573,6,0.235514874141876,kept
NPSAD-20201105-A2-cDNA,Donor_933,donor3,2676,6,0.191388928622515,donor3,2303,6,0.210800915331808,kept
NPSAD-20201105-A2-cDNA,Donor_1443,donor4,2196,6,0.157059075954799,donor4,1878,6,0.171899313501144,kept
NPSAD-20201105-A2-cDNA,Donor_509,donor5,1851,6,0.132384494349878,donor5,782,6,0.071578947368421,kept
NPSAD-20201105-A2-cDNA,Donor_894,donor6,1152,6,0.0823916464025175,donor6,729,6,0.0667276887871854,kept
NPSAD-20201105-C1-cDNA,Donor_564,donor1,3211,5,0.347435619995672,donor1,2649,5,0.395255147717099,kept
NPSAD-20201105-C1-cDNA,Donor_382,donor2,2403,5,0.260008656135036,donor2,1888,5,0.281706953148314,kept
NPSAD-20201105-C1-cDNA,Donor_1021,donor3,1844,5,0.199523912573036,donor3,1150,5,0.171590569979111,kept
NPSAD-20201105-C1-cDNA,Donor_46,donor4,1270,5,0.137416143691842,donor4,739,5,0.110265592360489,kept
NPSAD-20201105-C1-cDNA,Donor_399,donor5,514,5,0.0556156676044146,donor5,276,5,0.0411817367949866,kept
NPSAD-20201105-C2-cDNA,Donor_564,donor1,3536,5,0.335229427379598,donor1,2776,5,0.377430319510537,kept
NPSAD-20201105-C2-cDNA,Donor_382,donor2,2705,5,0.2564467197573,donor2,2060,5,0.280081577158396,kept
NPSAD-20201105-C2-cDNA,Donor_1021,donor3,2160,5,0.204778156996587,donor3,1242,5,0.168864717878994,kept
NPSAD-20201105-C2-cDNA,Donor_46,donor4,1520,5,0.144103147516117,donor4,866,5,0.117743031951054,kept
NPSAD-20201105-C2-cDNA,Donor_399,donor5,627,5,0.0594425483503982,donor5,411,5,0.0558803535010197,kept
NPSAD-20201106-C1-cDNA,Donor_76,donor1,4180,6,0.201971395438732,donor2,2867,6,0.207828923523016,kept
NPSAD-20201106-C1-cDNA,Donor_932,donor2,3963,6,0.191486277541554,donor1,2957,6,0.214353026458862,kept
NPSAD-20201106-C1-cDNA,Donor_289,donor3,3736,6,0.180517974487824,donor3,2516,6,0.182384922073215,kept
NPSAD-20201106-C1-cDNA,Donor_435,donor4,3375,6,0.163074990336297,donor5,1814,6,0.131496919173614,kept
NPSAD-20201106-C1-cDNA,Donor_1256,donor5,2856,6,0.137997680711249,donor4,2108,6,0.152808988764045,kept
NPSAD-20201106-C1-cDNA,Donor_913,donor6,2586,6,0.124951681484345,donor6,1533,6,0.111127220007249,kept
NPSAD-20201106-C2-cDNA,Donor_76,donor1,4176,6,0.208206611158199,donor1,2938,6,0.215712187958884,kept
